month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
01/1901,5.9,1,3.4,7.1,86,79.8
02/1901,4.6,-0.9,1.8,6.5,81.2,59.8
03/1901,6.4,0.5,3.5,7,81.4,80.6
04/1901,11.4,3,7.2,8.4,67.8,82.8
05/1901,15.5,5.4,10.4,9.7,57.4,42.1
06/1901,16.6,7.9,12.3,11.4,70,71.9
07/1901,20.5,11.5,16,14.1,70.1,67.9
08/1901,18.5,10.2,14.3,14.4,71.2,96.5
09/1901,16.3,9.4,12.9,13.1,77.4,74.1
10/1901,12,5.2,8.6,9.9,76.9,112.2
11/1901,8.4,2.3,5.3,7.9,80.5,105
12/1901,5.6,0.4,3,7.8,86.2,155
01/1902,6.5,1.3,3.9,7.1,85.9,78.5
02/1902,4.3,-1.3,1.5,7,80.6,55
03/1902,9,2.4,5.7,7.7,77.2,78.3
04/1902,11,2.5,6.8,8.1,68,55.3
05/1902,11.7,4,7.8,8.9,74.1,82.3
06/1902,15.9,7.8,11.8,11.5,73.9,69.3
07/1902,17.1,8.9,13,13,73.6,79.5
08/1902,16.9,8.9,12.9,13.5,73.1,89.4
09/1902,15.9,8.3,12,12.4,73.7,76.1
10/1902,11.7,5.9,8.8,10.8,81.6,94.9
11/1902,9.5,4.1,6.7,9,83.7,86.9
12/1902,6.6,1.7,4.1,7.7,88.4,110.7
01/1903,5.9,0.9,3.3,7,86.4,144.9
02/1903,8.6,2.8,5.7,7.7,79.3,117
03/1903,8.7,2.2,5.4,7.6,77.9,150
04/1903,9,1.8,5.4,7.6,75.8,62.7
05/1903,13.8,5.5,9.6,9.5,70.2,77.5
06/1903,15.8,7.7,11.7,11.4,73.7,67.3
07/1903,17.3,9.8,13.5,13,76.5,116.2
08/1903,16.7,9,12.8,12.5,75.2,146.8
09/1903,15.5,8.4,11.9,12.1,76.4,107.5
10/1903,11.9,6.4,9.1,10.3,83.4,227.5
11/1903,8.5,3.1,5.8,8.2,83.3,99.3
12/1903,5.1,0.6,2.8,7.1,90.1,87.6
01/1904,6.4,1.2,3.8,7.4,85.5,112.5
02/1904,5,0.3,2.6,6.6,84.6,114.5
03/1904,6.9,0.5,3.7,6.8,78.9,64.5
04/1904,11.1,3.7,7.4,8.5,74.5,85.1
05/1904,13.5,5.5,9.5,9.5,72.6,77.6
06/1904,16.7,8,12.3,11.5,70.3,49.8
07/1904,18.8,10.3,14.5,13.2,72,78.2
08/1904,17.9,9.7,13.8,13.1,71.1,113.8
09/1904,15.6,7.9,11.8,12.1,73.3,81.1
10/1904,12.4,5.8,9.1,10.2,77.7,65.5
11/1904,8.2,2.6,5.4,8,82.2,85.6
12/1904,6.8,1.8,4.3,7.6,87.5,101.4
01/1905,6.7,1.5,4.1,7.4,85.1,67.9
02/1905,6.7,1.4,4,7.1,82,70.5
03/1905,8.8,2.3,5.5,7.8,78,128.1
04/1905,9.4,2.6,6,7.8,77.9,79
05/1905,14.4,5.3,9.8,9.5,64.6,39.7
06/1905,17.7,8.9,13.3,12.2,69.8,60.2
07/1905,19.5,11.2,15.3,14.1,73,61.3
08/1905,17.2,9.7,13.4,13.3,75.4,123.4
09/1905,15,8,11.5,11.9,76.8,79.6
10/1905,10,3.5,6.7,8.8,77.9,99
11/1905,7.4,1.8,4.6,7.8,82.5,143.9
12/1905,7.6,3.2,5.4,8.4,90,59.2
01/1906,7,2.1,4.5,7.6,86,147.2
02/1906,5.2,-0.4,2.4,6.4,80.7,100
03/1906,7.5,0.8,4.1,6.8,77.4,79.8
04/1906,10.6,2,6.3,7.7,66.8,48
05/1906,12.5,5.2,8.9,9.3,77.4,104.8
06/1906,17.3,8.6,12.9,12,70.2,50
07/1906,18.2,9.4,13.8,12.6,71,60.9
08/1906,19,10.8,14.8,13.7,71.5,100.7
09/1906,17.1,8.4,12.7,12.4,68.6,45.8
10/1906,13,6.2,9.6,10.3,77.7,162.4
11/1906,9.6,4.5,7,9.1,84.9,139.1
12/1906,5.4,0.3,2.9,6.9,87.1,114.4
01/1907,6,1.3,3.6,7.2,86.8,68.3
02/1907,5.3,-0.4,2.4,6.4,80.1,77.5
03/1907,9.3,1.9,5.6,7.4,72.2,79.5
04/1907,10.3,2.9,6.6,8.2,73.9,78.7
05/1907,13,5.3,9.1,9.5,74.3,99
